id,Name,MedianIncomeDollars
0500000US12129,"Wakulla County, Florida",62778
0500000US12131,"Walton County, Florida",53785
0500000US12133,"Washington County, Florida",37188
0500000US13001,"Appling County, Georgia",39561
0500000US13003,"Atkinson County, Georgia",34877
0500000US13005,"Bacon County, Georgia",36964
0500000US13007,"Baker County, Georgia",37188
0500000US13009,"Baldwin County, Georgia",39426
0500000US13011,"Banks County, Georgia",45373
0500000US13013,"Barrow County, Georgia",57348
0500000US13015,"Bartow County, Georgia",55452
0500000US13017,"Ben Hill County, Georgia",32705
0500000US13019,"Berrien County, Georgia",37163
0500000US13021,"Bibb County, Georgia",39931
0500000US13023,"Bleckley County, Georgia",45029
0500000US13025,"Brantley County, Georgia",37031
0500000US13027,"Brooks County, Georgia",34322
0500000US13029,"Bryan County, Georgia",71322
0500000US13031,"Bulloch County, Georgia",41789
0500000US13033,"Burke County, Georgia",42773
0500000US13035,"Butts County, Georgia",41845
0500000US13037,"Calhoun County, Georgia",31725
0500000US13039,"Camden County, Georgia",56397
0500000US13043,"Candler County, Georgia",32937
0500000US13045,"Carroll County, Georgia",49608
0500000US13047,"Catoosa County, Georgia",55125
0500000US13049,"Charlton County, Georgia",40283
0500000US13051,"Chatham County, Georgia",54911
0500000US13053,"Chattahoochee County, Georgia",46453
0500000US13055,"Chattooga County, Georgia",36107
0500000US13057,"Cherokee County, Georgia",79670
0500000US13059,"Clarke County, Georgia",36889
0500000US13061,"Clay County, Georgia",25000
0500000US13063,"Clayton County, Georgia",45778
0500000US13065,"Clinch County, Georgia",25236
0500000US13067,"Cobb County, Georgia",75153
0500000US13069,"Coffee County, Georgia",38266
0500000US13071,"Colquitt County, Georgia",35472
0500000US13073,"Columbia County, Georgia",76938
0500000US13075,"Cook County, Georgia",38408
0500000US13077,"Coweta County, Georgia",70717
0500000US13079,"Crawford County, Georgia",43257
0500000US13081,"Crisp County, Georgia",35096
0500000US13083,"Dade County, Georgia",44471
0500000US13085,"Dawson County, Georgia",65805
0500000US13087,"Decatur County, Georgia",39148
0500000US13089,"DeKalb County, Georgia",59280
0500000US13091,"Dodge County, Georgia",35757
0500000US13093,"Dooly County, Georgia",35629
0500000US13095,"Dougherty County, Georgia",37633
0500000US13097,"Douglas County, Georgia",62147
0500000US13099,"Early County, Georgia",31567
0500000US13101,"Echols County, Georgia",34447
0500000US13103,"Effingham County, Georgia",65153
0500000US13105,"Elbert County, Georgia",37943
0500000US13107,"Emanuel County, Georgia",34946
0500000US13109,"Evans County, Georgia",39701
0500000US13111,"Fannin County, Georgia",45647
0500000US13113,"Fayette County, Georgia",87272
0500000US13115,"Floyd County, Georgia",46367
0500000US13117,"Forsyth County, Georgia",101743
0500000US13119,"Franklin County, Georgia",40198
0500000US13121,"Fulton County, Georgia",64787
0500000US13123,"Gilmer County, Georgia",49389
0500000US13125,"Glascock County, Georgia",41686
0500000US13127,"Glynn County, Georgia",50672
0500000US13129,"Gordon County, Georgia",44313
0500000US13131,"Grady County, Georgia",42348
0500000US13133,"Greene County, Georgia",49755
0500000US13135,"Gwinnett County, Georgia",67769
0500000US13137,"Habersham County, Georgia",49140
0500000US13139,"Hall County, Georgia",59898
0500000US13141,"Hancock County, Georgia",31984
0500000US13143,"Haralson County, Georgia",46353
0500000US13145,"Harris County, Georgia",74261
0500000US13147,"Hart County, Georgia",41358
0500000US13149,"Heard County, Georgia",48094
0500000US13151,"Henry County, Georgia",68609
0500000US13153,"Houston County, Georgia",58770
0500000US13155,"Irwin County, Georgia",32339
0500000US13157,"Jackson County, Georgia",62495
0500000US13159,"Jasper County, Georgia",43284
0500000US13161,"Jeff Davis County, Georgia",36531
0500000US13163,"Jefferson County, Georgia",34300
0500000US13165,"Jenkins County, Georgia",27311
0500000US13167,"Johnson County, Georgia",39813
0500000US13169,"Jones County, Georgia",53155
0500000US13171,"Lamar County, Georgia",41464
0500000US13173,"Lanier County, Georgia",39104
0500000US13175,"Laurens County, Georgia",37369
0500000US13177,"Lee County, Georgia",65420
0500000US13179,"Liberty County, Georgia",45959
0500000US13181,"Lincoln County, Georgia",41014
0500000US13183,"Long County, Georgia",55439
0500000US13185,"Lowndes County, Georgia",41390
0500000US13187,"Lumpkin County, Georgia",47488
0500000US13189,"McDuffie County, Georgia",39199
0500000US13191,"McIntosh County, Georgia",47114
0500000US13193,"Macon County, Georgia",31999
0500000US13195,"Madison County, Georgia",51701
0500000US13197,"Marion County, Georgia",44309
0500000US13199,"Meriwether County, Georgia",36351
0500000US13201,"Miller County, Georgia",42927
0500000US13205,"Mitchell County, Georgia",37027
0500000US13207,"Monroe County, Georgia",54050
0500000US13209,"Montgomery County, Georgia",40728
0500000US13211,"Morgan County, Georgia",62530
0500000US13213,"Murray County, Georgia",45238
0500000US13215,"Muscogee County, Georgia",45389
0500000US13217,"Newton County, Georgia",53309
0500000US13219,"Oconee County, Georgia",88308
